sparknom;sparkadresse1;sparkadresse2;sparkcp;sparkdescription;svillnom;svehinumimma;image;smodenom;smarqnom;icapacite;bvehielectrique;bdisponiblevehicule;geo_location;options
Chantiers Navals (Voiture + Camion);Place du commandant Jean l'HERMINIER;;44000;"Angle rue Mazagran et Charles Brunelliere
Chantiers navals
	Tram ligne 1 
 
	Bus ligne 11

bicloo - Station n°41 chantiers navals ou n°76 place René Bouhier";Nantes;EN-349-VT;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/917b357f5f04063570b6243312e590f1;Kangoo;Renault;2;non;oui;47.20899,-1.56854;
Arche Sèche;20 rue de l’Arche Sèche;;44000;"20 Rue de l'Arche Sèche

	TAN : Arrêt Place du Cirque (Tram ligne 2, Chronobus lignes C1, C2 et C6, Bus ligne 11)
	BICLOO : Station n°6 Place du Cirque ou n°8 Boucherie";Nantes;DZ-660-WH;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/91497f428a9738a89c90fc58f4653c3d;Clio IV;Renault;5;non;oui;47.21746,-1.55764;Siège Bébé
Anatole France;39 rue Alexandre Dumas;;44000;"A côté de l'arrêt de bus, en face de la station Bicloo 
 
	Tan - Arret Anatole France 
 
	Bus lignes 26 et 54 
 
	Chronobus ligne C6 
 
	Bicloo - station 87 Anatole France";Nantes;EG-961-RS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/b143f32e31df26816c72037909f798b7;Clio IV;Renault;5;non;oui;47.2236,-1.5717;"Siège Bébé;Réhausseur"
Cio;2 rue de Mayence;;44000;"2 rue de Mayence
	Devant le restaurant Le Café du Marché 
 
	TAN : Arrêt Cité Internationale des Congrès (Busway ligne 4)

BICLOO : Station n°54 Cité Internationale des Congrès";Nantes;FK-293-YC;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/8d2cdc868b3879e9747c2a08cde0b585;Twingo 3;Renault;5;non;oui;47.2126,-1.54621;Bluetooth
Bretagne;2 place Bretagne;;44000;"Devant le bâtiment de la CARSAT

TAN - Tram ligne 3
	Arrêt Jean Jaurès ou Bretagne

Bicloo - Station n°13 Bretagne Sud";Nantes;EA-652-FM;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/4f1354201d0b728b28850a61dd93ab71;Twingo 3;Renault;4;non;oui;47.21744,-1.55961;Réhausseur
Baco;5 Chaussée de la madeleine;Nantes;44000;"3 chaussée de la madeleine 
 
	TAN: Tramway ligne 2 et 3 
 
	         Chronobus: C2 et C3 
 
	          Ligne aéroport";Nantes;DZ-339-VJ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/f1cc7882fc620233c6ea6ee79aa33753;Clio IV;Renault;5;non;oui;47.21194,-1.5522;Réhausseur
Hauts Pavés;85 rue des Hauts Pavés;;44000;"TAN - Arrêt Félix Faure
	Tram ligne 3 
 
	Bus: Proche ligne 26 
 
	BICLOO - Station n°86";Nantes;FZ-692-LR;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/a108328dec9a78731cf4e6a24d523899;Clio V Hybride Automatique;Renault;5;non;oui;47.22552,-1.56758;Bluetooth
Chantiers Navals (Voiture + Camion);Place du commandant Jean l'HERMINIER;;44000;"Angle rue Mazagran et Charles Brunelliere

TAN - Arrêt Chantiers navals
	Tram ligne 1 
 
	Bus ligne 11

bicloo - Station n°41 chantiers navals ou n°76 place René Bouhier";Nantes;EV-146-ZS;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/4fca6ce4c9e2e8d767fd3b93f550f327;208;Peugeot;5;non;oui;47.20899,-1.56854;
Beaulieu;2 rue Gaëtan Rondeau;;44200;"Devant France 3 Pays de la Loire et URSSAF 
 
	TAN - Arrêt Conservatoire ou Galarne
Bus ligne 26 
Chronobus ligne C5
Proche Busway ligne 4
bicloo - Station n°82 - Sébilleau";Nantes;DN-856-BX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/5cb3ca267ffcf839a090fdcdff79bca0;Twingo 3;Renault;4;non;oui;47.2078,-1.53119;Siège Bébé
Hôtel De Ville (Voiture + Camion);Place de l'hotel de Ville;;44000;"A l'angle de la rue du Général Leclerc
	de hauteclocque

TAN - Arrêt Hôtel de Ville
	Bus lignes 11 et 12
	Chronobus lignes C1 et C6

bicloo - Station n°2 Hotel de Ville ou n°4 Moulin";Nantes;FB-737-WQ;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/08c7c68757384361851a4ece94d6dc3f;Kangoo;Renault;2;non;non;47.21773,-1.55415;Bluetooth
Clos Toreau;31 boulevard Emile Gabory;;44200;"31 boulevard Emile Gabory, en face du Super U 
 
	Busway ligne 4 arrêt Clos Toreau";Nantes;EG-440-KX;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/1e0a1980018fd8d91768e71a7a00da58;Clio IV;Renault;5;non;oui;47.19383,-1.52837;Réhausseur
Canclaux;10 Place Canclaux;;44000;"Entre la rue de la Ville en Bois et le boulevard Langevin

TAN - Arrêt Canclaux
	Bus lignes 23
	Chronobus lignes C1 et C3

bicloo - Station n°74 Canclaux";Nantes;EG-644-KY;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/679d9c5d9b8ba6ad879f14c43283ab52;Clio IV;Renault;5;non;non;47.21412,-1.57484;"Bluetooth;Siège Bébé;Réhausseur"
Olivettes;4, rue des Olivettes;;44000;"TAN - arrêt Aimé Delrue 
 
	Tram lignes 2 et 3 
 
	Bus ligne n°54 
 
	Chronobus ligne C2 et C3 
 
	  
 
	Bicloo - Station n° 53 - Olivettes";Nantes;FZ-366-HG;https://data.nantesmetropole.fr/api/v2/catalog/datasets/244400404_stations-marguerite-nantes-metropole-disponibilites/files/18d4809f9740a3bfafbfa9471f3a5453;Clio V Hybride Automatique;Renault;2;non;oui;47.21209,-1.55012;Bluetooth
